Title,Total Earnings,Foriegn Earnings,Year,IMDB
Mortal Kombat,"$122,200,000 ","$70,500,000 ",1995,5.8
Casino,"$116,100,000 ","$42,500,000 ",1995,8.2
Get Shorty,"$115,100,000 ","$72,100,000 ",1995,6.9
Judge Dredd,"$113,500,000 ","$34,700,000 ",1995,5.6
Species,"$113,400,000 ","$60,100,000 ",1995,5.8
The Net,"$110,600,000 ","$50,700,000 ",1995,5.9
The American President,"$107,900,000 ","$60,100,000 ",1995,6.8
Mr. Holland's Opus,"$106,300,000 ","$82,600,000 ",1995,7.3
Under Siege 2: Dark Territory,"$104,300,000 ","$50,000,000 ",1995,5.5
French Kiss,"$102,000,000 ","$38,900,000 ",1995,6.6
Waiting to Exhale,"$81,500,000 ","$67,100,000 ",1995,5.9
Don Juan de Marco,"$68,800,000 ","$22,200,000 ",1995,5.9
Mighty Morphin' Power Rangers,"$66,400,000 ","$38,200,000 ",1995,5.9
Sudden Death,"$64,400,000 ","$20,400,000 ",1995,5.8
"To Wong Foo, Thanks for Everything, Julie Newmar","$47,800,000 ","$36,500,000 ",1995,5.8
How to Make an American Quilt,"$41,200,000 ","$23,600,000 ",1995,6.3
Now and Then,"$37,600,000 ","$27,100,000 ",1995,6.8
Assassins,"$30,300,000 ","$30,300,000 ",1995,6.3
Major Payne,"$30,100,000 ","$29,400,000 ",1995,6.2
Friday,"$28,200,000 ","$27,500,000 ",1995,7.3
Billy Madison,"$26,500,000 ","$25,600,000 ",1995,6.4
Across the Sea of Time (IMAX),"$16,000,000 ","$16,000,000 ",1995,6.4
Muriel's Wedding,"$15,500,000 ","$15,100,000 ",1995,6.4
Tall Tale,"$11,000,000 ","$8,200,000 ",1995,5.9
The Tie That Binds,"$5,800,000 ","$5,800,000 ",1995,5
Before Sunrise,"$5,500,000 ","$5,500,000 ",1995,8.1
National Lampoon's Senior Trip,"$4,700,000 ","$4,700,000 ",1995,8.1
Belle De Jour (Re-issue),"$4,000,000 ","$4,000,000 ",1995,8.1
Born to Be Wild,"$3,700,000 ","$3,700,000 ",1995,5.1
Othello,"$2,800,000 ","$2,800,000 ",1995,6.9
Strawberry and Chocolate,"$2,100,000 ","$2,100,000 ",1995,6.9
City of Lost Children,"$1,700,000 ","$1,700,000 ",1995,6.9
Separate Lives,"$961,000 ","$961,000 ",1995,5
Safe,"$512,000 ","$512,000 ",1995,7.2
Independence Day,"$817,400,000 ","$306,200,000 ",1996,7
Twister,"$494,500,000 ","$241,700,000 ",1996,6.4
Mission: Impossible,"$457,700,000 ","$181,000,000 ",1996,7.1
The Rock,"$335,100,000 ","$134,100,000 ",1996,7.4
The Hunchback of Notre Dame,"$325,300,000 ","$100,100,000 ",1996,1.4
101 Dalmatians (1996),"$320,700,000 ","$136,200,000 ",1996,1.4
Ransom,"$309,500,000 ","$136,500,000 ",1996,6.6
The Nutty Professor (1996),"$274,000,000 ","$128,800,000 ",1996,6.6
Jerry Maguire,"$273,600,000 ","$154,000,000 ",1996,7.3
Eraser,"$242,300,000 ","$101,300,000 ",1996,6.1
The English Patient,"$232,000,000 ","$78,700,000 ",1996,7.4
Space Jam,"$230,400,000 ","$90,400,000 ",1996,6.4
The Birdcage,"$185,300,000 ","$124,100,000 ",1996,7.1
The First Wives Club,"$181,500,000 ","$105,500,000 ",1996,6.4
Scream,"$173,000,000 ","$103,000,000 ",1996,7.2
Sleepers,"$165,600,000 ","$53,300,000 ",1996,7.6
Daylight,"$159,200,000 ","$33,000,000 ",1996,5.9
A Time to Kill,"$152,300,000 ","$108,800,000 ",1996,7.5
Phenomenon,"$152,000,000 ","$104,600,000 ",1996,6.4
Broken Arrow (1996),"$150,300,000 ","$70,800,000 ",1996,6.4
Romeo + Juliet,"$147,600,000 ","$46,400,000 ",1996,6.7
Star Trek: First Contact,"$146,000,000 ","$92,000,000 ",1996,7.6
Evita,"$141,000,000 ","$50,000,000 ",1996,6.3
Jingle All the Way,"$129,800,000 ","$60,600,000 ",1996,5.6
Executive Decision,"$122,000,000 ","$56,600,000 ",1996,6.4
Michael,"$119,700,000 ","$95,300,000 ",1996,5.7
