Title,Earnings,Opening Weekend,Opening Date,Close Date
Strange Brew,"8,571,374","1,913,389",8/26/1983,NA
Tender Mercies,"8,443,124","46,977",3/4/1983,NA
Something Wicked This Way Comes,"8,400,000","2,423,555",4/29/1983,NA
10 to Midnight,"7,175,592","3,050,225",3/11/1983,NA
Romantic Comedy,"6,857,733","2,366,025",10/7/1983,NA
Fanny and Alexander,"6,783,304",N/A,6/17/1983,NA
Nightmares,"6,670,680","2,572,750",9/2/1983,NA
The Golden Seal,"6,666,725","920,018",8/19/1983,NA
The Osterman Weekend,"6,486,797","301,129",10/21/1983,NA
Star 80,"6,472,990","412,566",11/11/1983,NA
The Sting II,"6,347,072","3,106,108",2/18/1983,NA
Amityville 3-D,"6,333,135","2,366,472",11/18/1983,NA
Chained Heat,"6,149,983","2,252,682",5/27/1983,NA
Beyond the Limit,"5,997,566","2,208,976",9/30/1983,NA
