Title,Earnings,Opening Weekend,Opening Date,Close Date
Water & Power,"82,312","39,428",5/2/2014,5/27/2014
Fort McCoy,"78,948","4,070",8/15/2014,11/20/2014
Whitey: USA v. James J. Bulger,"75,881","14,287",6/27/2014,8/21/2014
Just a Sigh,"75,531","11,500",3/21/2014,6/29/2014
Better Living Through Chemistry,"75,143","46,435",3/14/2014,3/27/2014
Veil of Tears,"72,078","44,358",3/28/2014,4/17/2014
"Flamenco, Flamenco","71,732","1,259",7/18/2014,1/1/2014
"Je T'aime, Je T'aime (2014 re-issue)","71,717","12,869",2/14/2014,-/2014
A Letter to Momo,"71,712","4,596",7/23/2014,10/9/2014
The Better Angels,"70,918","4,246",11/7/2014,12/11/2014
Take Me to the River,"68,598","25,588",9/12/2014,10/26/2014
For No Good Reason,"67,421","4,516",4/25/2014,8/14/2014
The Notebook (2014),"66,559","3,127",8/29/2014,11/20/2014
Through a Lens Darkly,"65,169","9,456",8/27/2014,1/29/2014
Art of the Steal,"64,065","40,003",3/14/2014,3/27/2014
Jealousy,"63,946","5,533",8/15/2014,10/12/2014
Heropanti,"63,649","32,831",5/23/2014,6/19/2014
No Tears for the Dead,"63,063","8,329",6/13/2014,7/3/2014
The Last Sentence,"62,506","9,020",6/20/2014,9/4/2014
Young and Beautiful,"61,067","4,607",4/25/2014,6/19/2014
Siddharth,"60,537","4,564",6/27/2014,8/28/2014
Bicycling with Moliere,"59,874","3,896",4/23/2014,8/7/2014
Frontera,"59,696","10,962",9/5/2014,10/16/2014
Wetlands,"59,478","6,488",9/5/2014,12/4/2014
Cheap Thrills,"59,424","18,638",3/21/2014,5/15/2014
Walk of Shame,"59,209","39,751",5/2/2014,5/8/2014
The One I Wrote For You,"58,872","48,643",12/5/2014,12/11/2014
Sagrada: The Mystery of Creation,"58,755","2,009",9/12/2014,4/30/2014
The Conformist (2014 re-release),"58,657",N/A,8/29/2014,12/18/2014
Rudderless,"58,293","37,440",10/17/2014,10/30/2014
Borgman,"57,474","5,317",6/6/2014,8/14/2014
The Rocket (2014),"56,823","4,621",1/10/2014,9/18/2014
Ilo Ilo,"56,773","8,775",4/4/2014,7/24/2014
The Bag Man,"56,574","29,231",2/28/2014,3/13/2014
Big Men,"56,286","7,539",3/14/2014,6/19/2014
In Bloom,"56,092","9,280",1/10/2014,7/3/2014
Hellion,"55,708","7,601",6/13/2014,7/31/2014
Starred Up,"54,915","10,358",8/27/2014,10/30/2014
Half of a Yellow Sun,"54,529","4,843",5/16/2014,1/15/2014
Low Down,"54,051","5,278",10/24/2014,12/18/2014
Hateship Loveship,"54,030","6,015",4/11/2014,5/22/2014
"1,000 Times Good Night","53,895","24,120",10/24/2014,11/20/2014
At Middleton,"53,837","33,768",1/31/2014,2/20/2014
Ping Pong Summer,"52,909","25,781",6/6/2014,6/26/2014
To Be Takei,"52,823","22,846",8/22/2014,9/25/2014
The Missing Picture,"52,164","10,148",3/19/2014,5/29/2014
The Retrieval,"50,257","7,232",3/14/2014,10/2/2014
The Discoverers,"50,020","7,166",5/16/2014,10/2/2014
NOW: In the Wings on a World Stage,"49,591","21,500",5/2/2014,-/2014
Shirin in Love,"49,254",N/A,3/14/2014,-/2014
The Internet's Own Boy,"48,911","21,705",6/27/2014,7/20/2014
A Birder's Guide to Everything,"48,713","21,602",3/21/2014,4/17/2014
American Mustang,"48,700","7,906",1/17/2014,5/4/2014
Viva La Liberta,"48,541","5,272",11/7/2014,1/15/2014
Lucky Them,"48,421","3,728",5/30/2014,7/31/2014
Decoding Annie Parker,"48,390","16,781",5/2/2014,5/15/2014
Alphaville (2013 re-release),"47,696","7,298",2/7/2014,6/5/2014
A Master Builder,"46,874","7,017",7/23/2014,10/12/2014
Monk With a Camera,"45,938",N/A,11/21/2014,11/12/2014
Filmistaan,"45,406","31,113",6/6/2014,6/19/2014
Return to The Hiding Place,"45,405","36,942",5/23/2014,5/29/2014
Ai Weiwei: The Fake Case,"45,255","5,066",5/16/2014,7/24/2014
There's No Place Like Utopia,"45,254","30,710",7/18/2014,8/3/2014
The Dog,"44,581","12,431",8/8/2014,10/30/2014
If You Build It,"43,393","4,949",1/10/2014,3/13/2014
Road to Ninja - Naruto the Movie,"43,171","19,017",8/29/2014,10/9/2014
Next Goal Wins,"43,089","2,568",4/25/2014,6/26/2014
Interior. Leather Bar.,"42,534","5,218",1/3/2014,4/17/2014
Blood Ties (2014),"42,472","26,912",3/21/2014,4/3/2014
The Last Of The Unjust,"40,563","14,328",2/7/2014,-/2014
Teenage,"40,169","8,000",3/14/2014,5/29/2014
Child of God,"39,324","27,630",8/1/2014,8/14/2014
Expedition to the End of the World,"39,115","6,635",8/20/2014,11/6/2014
7 Boxes,"38,106","6,447",2/7/2014,4/24/2014
Dead Snow 2: Red vs. Dead,"37,473","17,331",10/10/2014,11/2/2014
Not Cool,"36,026","10,329",9/19/2014,10/2/2014
Le Jour Se Leve (2014 re-release),"35,321","11,864",11/14/2014,1/15/2014
That Man From Rio,"35,144",N/A,8/22/2014,9/7/2014
Beneath the Harvest Sky,"34,768","16,768",4/25/2014,5/15/2014
This Ain't No Mouse Music!,"34,754","15,982",9/19/2014,10/16/2014
Expelled from Paradise,"34,510","18,869",12/13/2014,-/2014
Tiger & Bunny The Movie: The Rising,"34,471","23,171",3/14/2014,3/27/2014
Filth,"34,411","7,526",5/30/2014,7/24/2014
Rocks in my Pockets,"34,236","4,674",9/3/2014,11/6/2014
White Bird in a Blizzard,"33,821","6,302",10/24/2014,12/11/2014
It Felt Like Love,"33,817","8,211",3/21/2014,5/15/2014
K: Missing Kings,"33,531",N/A,7/18/2014,10/9/2014
Big Bad Wolves,"33,232","6,342",1/17/2014,-/2014
A Field in England,"32,846","9,498",2/7/2014,-/2014
For a Woman,"32,286","6,530",5/2/2014,8/3/2014
The Hero of Color City,"32,188","24,260",10/3/2014,10/30/2014
Bird People,"32,111","7,443",9/12/2014,10/9/2014
Abuse of Weakness,"31,611","9,140",8/15/2014,10/30/2014
The Passionate Thief (2014 re-release),"31,539","8,677",12/5/2014,4/30/2014
Documented,"30,662","5,422",5/2/2014,6/26/2014
Happy Christmas,"30,312","7,523",7/25/2014,9/11/2014
Jimmy P,"30,283","7,191",2/14/2014,3/13/2014
Southern Baptist Sissies,"30,160","5,200",2/21/2014,6/12/2014
A Long Way Off,"30,104","1,926",5/16/2014,8/7/2014
Manakamana,"30,029","3,635",4/18/2014,12/18/2014
Yellow Day,"29,656","29,144",9/19/2014,-/2014
Othello (2014 re-release),"28,980","6,010",4/25/2014,6/19/2014
Why Don't You Play in Hell,"28,534","5,060",11/7/2014,-/2014
Stations of the Elevated,"28,516","9,423",10/17/2014,11/20/2014
Closed Curtain,"28,098","5,002",7/9/2014,7/27/2014
The King and the Mockingbird,"27,513","3,721",11/21/2014,2/8/2014
Lilting,"27,054","1,567",9/26/2014,10/30/2014
Last Weekend,"27,053","2,661",8/29/2014,10/9/2014
Level Five,"27,000","7,161",8/15/2014,-/2014
Elena (2014),"25,788","10,341",5/30/2014,6/26/2014
Christian Mingle,"25,480","19,836",10/10/2014,10/16/2014
Adult World,"25,368","3,783",2/14/2014,3/13/2014
Born to Fly: Elizabeth Streb vs. Gravity,"24,630","8,406",9/10/2014,9/25/2014
Happy Valley (2014),"23,868","9,047",11/21/2014,12/18/2014
Believe Me,"23,419",N/A,9/26/2014,10/9/2014
A Tale of Winter (Conte d'hiver),"23,268","3,802",12/19/2014,2/16/2014
History of Jazz: Oxygen for the Ears,"23,048","7,566",10/24/2014,12/8/2014
Video Games: The Movie,"23,043","12,759",7/18/2014,7/27/2014
Short Peace,"22,862",N/A,3/3/2014,-/2014
Two Lives,"22,620","1,303",2/28/2014,3/9/2014
Grand Piano,"22,555","2,964",3/7/2014,4/17/2014
May in the Summer,"22,004",N/A,8/22/2014,9/7/2014
Bright Days Ahead,"21,770","4,919",4/25/2014,-/2014
The Decent One,"21,327",N/A,10/1/2014,2/26/2014
Memphis,"21,286",N/A,9/5/2014,3/5/2014
NightLights,"21,147","6,414",8/29/2014,1/12/2014
The Sacrifice,"20,945",N/A,11/12/2014,1/8/2014
Lekar Hum Deewana Dil,"20,874","14,418",7/4/2014,7/10/2014
The Great Flood,"20,694","3,596",1/8/2014,10/8/2014
Coming Up Roses (2014 re-release),"20,567","6,432",2/14/2014,12/29/2014
Run and Jump,"20,061","3,944",1/24/2014,3/6/2014
The Past is a Grotesque Animal,"20,056",N/A,6/16/2014,7/3/2014
Uzumasa Limelight,"19,597","10,090",12/5/2014,4/9/2014
A Picture of You,"19,480","5,650",6/20/2014,6/29/2014
Guardian Angel,"19,480","12,624",10/17/2014,10/26/2014
Peter Brook: The Tightrope,"19,365","6,768",1/31/2014,-/2014
Actress (2014),"19,365","4,880",11/7/2014,3/12/2014
Watchers of the Sky,"19,339","7,473",10/17/2014,11/27/2014
The Kill Team,"18,983",N/A,7/25/2014,9/18/2014
Test,"18,823",N/A,6/6/2014,7/3/2014
Tasting Menu,"18,686","6,010",4/18/2014,-/2014
Two Night Stand,"18,612","15,600",9/26/2014,10/2/2014
Tosca's Kiss (2014 re-release),"18,236",418,6/6/2014,-/2014
Who is Dayani Cristal?,"18,190","5,712",4/25/2014,-/2014
Journey to the West,"18,058","7,456",3/7/2014,4/10/2014
One Day Pina Asked...,"18,016","1,756",4/4/2014,-/2014
Kelly & Cal,"17,702","5,387",9/5/2014,10/9/2014
The Homestretch,"17,306","8,373",9/12/2014,9/18/2014
Stand Clear of the Closing Doors,"17,282","7,000",5/23/2014,9/4/2014
Accident,"17,161","5,798",5/23/2014,8/3/2014
Goodbye To All That,"16,986",N/A,12/17/2014,1/22/2014
Cold Comes the Night,"16,971","11,603",1/10/2014,1/16/2014
Hank and Asha,"16,878","6,192",4/11/2014,-/2014
Burning Bush,"16,731",N/A,6/11/2014,10/2/2014
Magician: The Astonishing Life and Work of Orson Welles,"16,400","7,130",12/10/2014,12/23/2014
Levitated Mass,"16,086","4,589",9/5/2014,12/11/2014
Olivia Experiment,"15,122","2,754",8/22/2014,12/1/2014
Barefoot,"15,071","11,767",2/21/2014,2/27/2014
Horses of God,"14,817","2,251",5/14/2014,10/2/2014
Last Passenger,"14,806","9,326",4/25/2014,5/1/2014
Exhibition,"14,344",N/A,6/20/2014,-/2014
13 Sins,"13,809","9,261",4/18/2014,4/24/2014
The Pretty One,"13,769","1,484",2/7/2014,-/2014
Fifi Howls From Happiness,"13,614","2,728",8/8/2014,9/4/2014
War of the Worlds: Goliath,"13,385","13,385",3/7/2014,3/9/2014
A Long Way Down,"13,347","1,426",7/11/2014,7/31/2014
Camp X-Ray,"13,302","1,316",10/17/2014,11/9/2014
Days and Nights,"13,243","6,003",9/26/2014,10/9/2014
Sol LeWitt,"13,146","4,051",5/7/2014,9/27/2014
The Pleasures of Being Out of Step,"13,137","1,846",5/16/2014,10/16/2014
K2: Siren of the Himalayas,"12,959","1,421",8/22/2014,1/1/2014
Alien Abduction,"12,897","10,514",4/4/2014,4/10/2014
Concerning Violence,"12,680",N/A,12/5/2014,11/19/2014
Special ID,"12,666","6,153",3/7/2014,3/13/2014
Bhopal: A Prayer for Rain,"12,628","5,948",11/7/2014,11/20/2014
Boy Meets Girl,"12,589",N/A,8/8/2014,8/14/2014
Touch the Wall,"12,156","6,200",11/28/2014,12/18/2014
Wolves,"12,139",N/A,11/14/2014,11/20/2014
In No Great Hurry: 13 Lessons in Life with Saul Leiter,"12,133","6,100",1/3/2014,1/16/2014
The French Minister,"12,027","3,800",3/21/2014,4/10/2014
Queen Margot (2014 re-release),"12,005","4,985",5/9/2014,5/22/2014
Revenge of the Mekons,"11,861","2,354",10/29/2014,4/30/2014
Falcon Rising,"11,774","8,691",9/5/2014,9/11/2014
Life of Riley,"11,616",N/A,10/24/2014,3/19/2014
Living is Easy with Eyes Closed,"11,600","11,600",6/27/2014,6/29/2014
You're Not You,"11,486","9,226",10/10/2014,10/16/2014
The Great Invisible,"11,428","2,348",10/29/2014,11/13/2014
The Final Member,"11,428","2,064",4/18/2014,5/8/2014
The Amazing Catfish,"11,342",733,6/13/2014,7/17/2014
Dishkiyaoon,"11,288","8,173",3/28/2014,4/3/2014
Policeman,"11,263","7,379",6/13/2014,6/19/2014
Pay 2 Play: Democracy's High Stakes,"11,021","2,233",9/5/2014,10/2/2014
The Players,"10,854","6,674",4/4/2014,4/10/2014
As It Is In Heaven,"10,850",531,7/18/2014,8/14/2014
Inside the Mind of Leonardo Da Vinci in 3D,"10,600",N/A,12/19/2014,1/4/2014
"Norte, the End of History","10,457","2,164",6/20/2014,12/18/2014
Stray Dogs,"10,433","2,998",9/12/2014,1/29/2014
The Endless Summer (2014 re-release),"10,233",N/A,7/23/2014,7/24/2014
Before I Disappear,"10,078","2,676",11/28/2014,12/18/2014
Kabbalah Me,"9,816","2,196",8/22/2014,9/11/2014
Marius,"9,781",N/A,7/4/2014,10/30/2014
"If You Don't, I Will","9,719","1,707",12/17/2014,1/22/2014
On the Other Side of the Tracks,"9,572","5,923",4/4/2014,4/10/2014
In the House of Flies,"9,480","3,500",5/9/2014,6/1/2014
Radio Free Albemuth,"9,365","5,553",6/27/2014,7/3/2014
The Immortalists,"9,331","1,308",11/26/2014,1/29/2014
Honeymoon,"9,318","4,131",9/12/2014,10/23/2014
The Sacrament,"9,221",583,6/6/2014,7/3/2014
Faith Connections,"9,111",N/A,9/12/2014,3/26/2014
The Cabinet of Dr. Caligari (2014 re-release),"8,811",N/A,10/31/2014,11/6/2014
Fanny,"8,735","1,872",7/25/2014,12/25/2014
Comet,"8,623",N/A,12/5/2014,12/25/2014
The Mystery of Happiness,"8,528",382,9/12/2014,11/6/2014
The Quitter,"8,512","5,588",9/12/2014,9/18/2014
Canopy,"8,462","3,042",8/29/2014,12/14/2014
Almost Human,"8,447","2,722",2/21/2014,3/20/2014
Red Hollywood,"8,426","4,760",8/15/2014,8/21/2014
Love is in the Air,"8,425","4,937",1/31/2014,2/13/2014
Eternity the Movie,"8,350","1,582",10/17/2014,8/30/2014
Gringo Trails,"8,349",158,4/19/2014,5/10/2014
Life Partners,"8,265","2,665",12/5/2014,1/15/2014
Empty Hours,"8,244","1,366",7/11/2014,8/14/2014
Gladiators of Rome,"8,201","1,920",11/11/2014,11/20/2014
Next Year Jerusalem,"8,093","2,590",5/16/2014,6/19/2014
Rigor Mortis,"7,865","7,865",6/6/2014,6/8/2014
Archipelago,"7,791",N/A,6/27/2014,8/14/2014
Come Back to Me,"7,744","4,156",7/25/2014,7/31/2014
Iceman (2014),"7,679","4,698",9/19/2014,9/28/2014
The Little Bedroom,"7,440","2,981",9/26/2014,10/9/2014
Raze,"7,429","3,453",1/10/2014,1/16/2014
I Am Ali,"7,205","4,178",10/10/2014,10/16/2014
The Strange Color of Your Body's Tears,"7,182","1,535",8/29/2014,12/4/2014
ABCs of Death 2,"7,171","4,022",10/31/2014,11/27/2014
Stage Fright (2014),"7,078","3,562",5/9/2014,6/5/2014
Plot for Peace,"7,051","2,554",10/31/2014,11/13/2014
Very Good Girls,"6,940","4,102",7/25/2014,-/2014
Pioneer,"6,871","1,857",12/5/2014,1/8/2014
"No God, No Master","6,796",N/A,3/28/2014,-/2014
Before You Know It,"6,717","1,591",5/30/2014,6/19/2014
Will You Still Love Me Tomorrow,"6,694","2,969",1/17/2014,1/30/2014
Aatsinki: The Story of Arctic Cowboys,"6,601","2,842",1/24/2014,3/6/2014
Life of a King,"6,547","4,231",1/17/2014,1/23/2014
Jews of Egypt,"6,505","2,179",3/28/2014,4/10/2014
The Adventurer: The Curse of the Midas Box,"6,399","4,756",1/10/2014,1/16/2014
Manuscripts Don't Burn,"6,295",N/A,7/25/2014,2/19/2014
Tip Top,"6,050",N/A,12/12/2014,7/23/2014
Love and Air Sex,"6,047",N/A,2/7/2014,-/2014
Cavemen,"5,948","3,544",2/7/2014,-/2014
Gang of Ghosts,"5,906","4,520",3/21/2014,3/27/2014
The Strange Little Cat,"5,885","3,594",8/1/2014,8/7/2014
"2 Autumns, 3 Winters","5,819","2,163",6/6/2014,6/19/2014
The Devil's Hand,"5,746","4,239",10/10/2014,10/16/2014
Papirosen,"5,658",N/A,1/24/2014,-/2014
Kid Cannabis,"5,565","5,565",4/18/2014,4/20/2014
Gabrielle (2014),"5,534","3,024",4/18/2014,-/2014
Flex is Kings,"5,418","3,152",4/4/2014,4/6/2014
The Only Real Game,"5,384","1,130",3/7/2014,-/2014
Return to Nuke 'Em High Volume 1,"5,122","3,226",1/10/2014,1/23/2014
Sleepwalker,"5,012","2,636",11/21/2014,11/23/2014
Nothing Bad Can Happen,"4,870","2,853",6/27/2014,7/17/2014
Half the Road,"4,783","1,613",4/18/2014,6/5/2014
Death Metal Angola,"4,674",895,11/7/2014,11/30/2014
Smiling Through the Apocalypse,"4,560","2,590",9/12/2014,11/13/2014
Unrelated,"4,529",N/A,6/27/2014,10/9/2014
The Truth About Emanuel,"4,404",N/A,1/10/2014,1/16/2014
Anna,"4,288","2,541",6/6/2014,-/2014
Free the Nipple,"4,198",606,12/12/2014,12/18/2014
Thunder and the House of Magic!,"4,091","4,091",9/5/2014,9/7/2014
Maidan,"3,909","1,847",12/12/2014,12/18/2014
Beyond Outrage,"3,878","1,938",1/3/2014,1/16/2014
Swim Little Fish Swim,"3,877",N/A,9/19/2014,11/13/2014
Hollidaysburg,"3,861","1,713",9/19/2014,10/2/2014
The Word,"3,648","3,648",3/14/2014,-/2014
Stop the Pounding Heart,"3,642","2,363",9/19/2014,9/25/2014
Hide Your Smiling Faces,"3,576",N/A,3/28/2014,-/2014
Evolution of a Criminal,"3,568",N/A,10/10/2014,10/16/2014
Locker 13,"3,496","2,468",3/28/2014,4/3/2014
The Hacker Wars,"3,470","2,958",10/17/2014,10/23/2014
Aftermath (2014),"3,451","1,124",11/28/2014,12/11/2014
Life's a Breeze,"3,450","1,361",9/19/2014,10/9/2014
Mahogany Sunrise,"3,432",N/A,4/5/2014,7/22/2014
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),"3,313",N/A,5/30/2014,6/5/2014
The Girl on the Train (2014),"3,124",211,7/4/2014,11/6/2014
Showrunners: The Art of Running a TV Show,"3,100","3,100",10/31/2014,11/2/2014
What Now? Remind Me,"3,089","1,434",8/8/2014,8/14/2014
French Gigolo (Cliente),"3,021",N/A,3/21/2014,-/2014
Fatal Assistance,"3,000","3,000",2/28/2014,-/2014
V/H/S: Viral,"2,756","1,221",11/21/2014,12/4/2014
Black Out,"2,734","1,749",2/21/2014,2/27/2014
Mercedes Sosa: The Voice of Latin America,"2,648","1,415",1/24/2014,-/2014
Refuge,"2,631","1,274",3/28/2014,4/10/2014
Indigo Children,"2,621","1,829",1/17/2014,1/23/2014
Jake Squared,"2,592","1,681",8/15/2014,8/21/2014
McCanick,"2,572","1,929",3/21/2014,-/2014
Two-Bit Waltz,"2,540",136,10/24/2014,3/26/2014
The Wait,"2,480",161,1/10/2014,2/6/2014
The Protector 2,"2,463",270,5/2/2014,5/22/2014
Evergreen: The Road to Legalization,"2,363",189,6/13/2014,8/10/2014
Moebius,"2,340",876,8/1/2014,8/10/2014
Infliction,"2,256",816,3/16/2014,7/13/2014
Missionary,"2,120","2,120",10/31/2014,-/2014
The Right Kind of Wrong,"2,098",593,3/14/2014,-/2014
Algorithms,"2,021",317,10/17/2014,10/30/2014
Open Windows,"1,750",N/A,11/7/2014,-/2014
Mr. Pip,"1,714","1,714",11/7/2014,11/9/2014
More Than the Rainbow,"1,677","1,082",5/2/2014,5/29/2014
Summer in February,"1,624",N/A,1/17/2014,1/23/2014
Rhymes for Young Ghouls,"1,529",141,10/24/2014,12/11/2014
Postman Pat: The Movie,"1,519","1,254",6/27/2014,7/3/2014
Souldier,"1,500",900,2/21/2014,3/2/2014
Ragnarok,"1,369",522,8/22/2014,9/11/2014
The Tower (2014),"1,117",726,11/7/2014,11/13/2014
Anything For Alice,"1,092",738,12/17/2014,12/21/2014
We Are the Giant,"1,088","1,088",12/12/2014,12/14/2014
The Butterfly Room,"1,081","1,081",4/11/2014,4/13/2014
Demi-Soeur,943,634,2/7/2014,2/13/2014
A People Uncounted,930,390,5/16/2014,5/22/2014
Jackpot,806,806,6/27/2014,6/29/2014
Grand Depart,677,339,5/23/2014,5/29/2014
Skinless,400,168,3/8/2014,3/16/2014
Cinemanovels,398,N/A,7/3/2014,-/2014
"Mummy, I'm a Zombie",120,N/A,9/20/2014,-/2014
Star Wars: The Force Awakens,"936,662,225","247,966,675",12/18/2015,6/2/2015
Jurassic World,"652,270,625","208,806,270",6/12/2015,11/19/2015
Avengers: Age of Ultron,"459,005,868","191,271,109",5/1/2015,10/8/2015
Inside Out,"356,461,711","90,440,272",6/19/2015,12/10/2015
Furious 7,"353,007,020","147,187,040",4/3/2015,7/24/2015
Minions,"336,045,770","115,718,405",7/10/2015,12/17/2015
The Hunger Games: Mockingjay - Part 2,"281,723,902","102,665,981",11/20/2015,2/25/2015
The Martian,"228,433,663","54,308,575",10/2/2015,3/17/2015
Cinderella (2015),"201,151,353","67,877,361",3/13/2015,9/17/2015
Spectre,"200,074,609","70,403,148",11/6/2015,4/7/2015
Mission: Impossible - Rogue Nation,"195,042,377","55,520,089",7/31/2015,10/29/2015
Pitch Perfect 2,"184,296,230","69,216,890",5/15/2015,7/30/2015
The Revenant,"183,637,894","474,560",12/25/2015,5/26/2015
Ant-Man,"180,202,163","57,225,526",7/17/2015,12/17/2015
Home (2015),"177,397,510","52,107,731",3/27/2015,9/10/2015
Hotel Transylvania 2,"169,700,110","48,464,322",9/25/2015,3/3/2015
Fifty Shades of Grey,"166,167,230","85,171,450",2/13/2015,5/7/2015
The SpongeBob Movie: Sponge Out of Water,"162,994,032","55,365,012",2/6/2015,5/28/2015
Straight Outta Compton,"161,197,785","60,200,180",8/14/2015,10/22/2015
San Andreas,"155,190,832","54,588,173",5/29/2015,10/15/2015
Mad Max: Fury Road,"153,636,354","45,428,128",5/15/2015,9/24/2015
Daddy's Home,"150,357,137","38,740,203",12/25/2015,4/7/2015
The Divergent Series: Insurgent,"130,179,072","52,263,680",3/20/2015,7/9/2015
The Peanuts Movie,"130,178,411","44,213,073",11/6/2015,3/31/2015
Kingsman: The Secret Service,"128,261,724","36,206,331",2/13/2015,7/9/2015
The Good Dinosaur,"123,087,120","39,155,217",11/25/2015,4/7/2015
Spy,"110,825,712","29,085,719",6/5/2015,10/8/2015
Trainwreck,"110,212,700","30,097,040",7/17/2015,10/15/2015
Creed,"109,767,581","29,632,823",11/25/2015,3/3/2015
Tomorrowland,"93,436,322","33,028,165",5/22/2015,9/17/2015
Get Hard,"90,411,453","33,803,253",3/27/2015,7/9/2015
Terminator: Genisys,"89,760,956","27,018,486",7/1/2015,9/17/2015
Taken 3,"89,256,424","39,201,657",1/9/2015,5/14/2015
Sisters,"87,044,645","13,922,855",12/18/2015,3/10/2015
Alvin and the Chipmunks: The Road Chip,"85,886,987","14,287,159",12/18/2015,5/19/2015
Maze Runner: The Scorch Trials,"81,697,192","30,316,510",9/18/2015,1/21/2015
Ted 2,"81,476,385","33,507,870",6/26/2015,8/27/2015
Goosebumps,"80,080,379","23,618,556",10/16/2015,2/18/2015
Pixels,"78,747,585","24,011,616",7/24/2015,11/8/2015
Paddington,"76,271,832","18,966,676",1/16/2015,6/18/2015
The Intern,"75,764,672","17,728,313",9/25/2015,1/7/2015
Bridge of Spies,"72,313,754","15,371,203",10/16/2015,3/10/2015
Paul Blart: Mall Cop 2,"71,038,190","23,762,435",4/17/2015,8/2/2015
The Big Short,"70,259,870","705,527",12/11/2015,4/7/2015
War Room,"67,790,117","11,351,389",8/28/2015,12/13/2015
Magic Mike XXL,"66,013,057","12,857,184",7/1/2015,9/24/2015
The Visit,"65,206,105","25,427,560",9/11/2015,11/26/2015
The Wedding Ringer,"64,460,211","20,649,306",1/16/2015,4/5/2015
Black Mass,"62,575,678","22,635,037",9/18/2015,12/3/2015
Vacation,"58,884,188","14,681,108",7/29/2015,10/29/2015
The Perfect Guy,"57,027,435","25,888,154",9/11/2015,12/3/2015
Joy,"56,451,232","17,015,168",12/25/2015,3/17/2015
Fantastic Four,"56,117,548","25,685,737",8/7/2015,10/22/2015
The Hateful Eight,"54,117,416","4,610,676",12/25/2015,4/28/2015
Focus (2015),"53,862,963","18,685,137",2/27/2015,5/7/2015
Southpaw,"52,421,953","16,701,294",7/24/2015,11/5/2015
Insidious Chapter 3,"52,218,558","22,692,741",6/5/2015,8/13/2015
Poltergeist (2015),"47,425,125","22,620,386",5/22/2015,8/6/2015
Jupiter Ascending,"47,387,723","18,372,372",2/6/2015,5/7/2015
Sicario,"46,889,293","401,288",9/18/2015,1/14/2015
The Man From U.N.C.L.E.,"45,445,109","13,421,036",8/14/2015,10/22/2015
Spotlight,"45,055,776","295,009",11/6/2015,5/5/2015
"McFarland, USA","44,482,410","11,020,798",2/20/2015,7/9/2015
The Gift (2015),"43,787,265","11,854,273",8/7/2015,10/9/2015
Everest (2015),"43,482,270","7,222,035",9/18/2015,11/26/2015
The Night Before,"43,047,372","9,880,536",11/20/2015,1/14/2015
Krampus,"42,725,475","16,293,325",12/4/2015,1/21/2015
Max (2015),"42,656,255","12,155,254",6/26/2015,10/15/2015
The Age of Adaline,"42,629,776","13,203,458",4/24/2015,7/9/2015
Brooklyn,"38,322,743","187,281",11/4/2015,5/26/2015
The Longest Ride,"37,446,117","13,019,686",4/10/2015,7/9/2015
The Boy Next Door,"35,423,380","14,910,105",1/23/2015,3/12/2015
Pan,"35,088,320","15,315,435",10/9/2015,1/7/2015
Hot Pursuit,"34,580,201","13,942,258",5/8/2015,7/30/2015
Concussion (2015),"34,542,474","10,513,749",12/25/2015,3/17/2015
The DUFF,"34,030,343","10,809,149",2/20/2015,5/14/2015
Woman in Gold,"33,307,793","2,091,551",4/1/2015,8/13/2015
The Second Best Exotic Marigold Hotel,"33,078,266","8,540,370",3/6/2015,6/25/2015
Unfriended,"32,482,090","15,845,115",4/17/2015,5/28/2015
Entourage,"32,363,404","10,283,250",6/3/2015,8/13/2015
Paper Towns,"32,000,304","12,650,140",7/24/2015,10/15/2015
Chappie,"31,569,268","13,346,782",3/6/2015,5/3/2015
Crimson Peak,"31,090,320","13,143,310",10/16/2015,11/26/2015
A Walk in the Woods,"29,504,281","8,246,267",9/2/2015,12/20/2015
Point Break (2015),"28,782,481","9,800,252",12/25/2015,2/25/2015
Sinister 2,"27,740,955","10,542,116",8/21/2015,10/29/2015
The Last Witch Hunter,"27,367,660","10,812,861",10/23/2015,12/31/2015
No Escape,"27,288,872","8,111,264",8/26/2015,11/26/2015
Ricki and the Flash,"26,822,144","6,610,961",8/7/2015,10/11/2015
The Woman in Black 2: Angel of Death,"26,501,323","15,027,415",1/2/2015,3/19/2015
Run All Night,"26,461,644","11,012,305",3/13/2015,5/7/2015
Love the Coopers,"26,302,731","8,317,545",11/13/2015,1/14/2015
The Lazarus Effect,"25,801,047","10,203,437",2/27/2015,6/11/2015
Ex Machina,"25,442,958","237,264",4/10/2015,9/3/2015
In the Heart of the Sea,"25,020,758","11,053,366",12/11/2015,2/11/2015
The Gallows,"22,764,410","9,808,463",7/10/2015,9/17/2015
Hitman: Agent 47,"22,467,450","8,326,530",8/21/2015,10/15/2015
Project Almanac,"22,348,241","8,310,252",1/30/2015,3/26/2015
Black or White,"21,571,189","6,213,362",1/30/2015,5/14/2015
Aloha,"21,067,116","9,670,235",5/29/2015,7/30/2015
The Secret in their Eyes (2015),"20,180,155","6,652,996",11/20/2015,1/14/2015
Shaun the Sheep Movie,"19,375,982","4,038,962",8/5/2015,10/22/2015
Still Alice,"18,754,371","197,000",1/16/2015,5/21/2015
Paranormal Activity: The Ghost Dimension,"18,300,124","8,070,493",10/23/2015,11/24/2015
